customer_id,name,region,tier,signup_date
C001,Customer 1,North,Gold,2022-11-02
C002,Customer 2,West,Bronze,2021-06-19
C003,Customer 3,West,Bronze,2021-01-03
C004,Customer 4,South,Silver,2021-04-03
C005,Customer 5,South,Gold,2023-02-08
C006,Customer 6,West,Bronze,2023-07-02
C007,Customer 7,East,Gold,2023-03-10
C008,Customer 8,South,Gold,2023-02-19
C009,Customer 9,North,Bronze,2023-03-04
C010,Customer 10,East,Silver,2021-09-23
C011,Customer 11,West,Bronze,2021-10-07
C012,Customer 12,South,Bronze,2023-07-25
C013,Customer 13,North,Silver,2023-08-12
C014,Customer 14,North,Gold,2021-12-25
C015,Customer 15,East,Gold,2023-05-17
C016,Customer 16,South,Silver,2023-08-10
C017,Customer 17,West,Gold,2023-07-06
C018,Customer 18,North,Gold,2022-07-02
C019,Customer 19,West,Bronze,2023-06-11
C020,Customer 20,North,Bronze,2022-10-26
C021,Customer 21,South,Gold,2021-05-16
C022,Customer 22,West,Gold,2023-12-10
C023,Customer 23,South,Silver,2023-07-22
C024,Customer 24,North,Gold,2022-06-06
C025,Customer 25,West,Silver,2021-04-25
C026,Customer 26,North,Gold,2023-04-13
C027,Customer 27,South,Silver,2021-03-15
C028,Customer 28,South,Bronze,2022-03-27
C029,Customer 29,South,Bronze,2022-12-14
C030,Customer 30,North,Bronze,2022-04-05
